model,LaSEuuNG54CdpH9KCxTnZ3,WFFEvxz8jWpSksta4Xv9zD,QGpFDyyng6eQuLsZmCXHN3,PAZ7fffXvj4QBQ85Qanvyn,6G4fJmXCGovwKtGhYCa5nU,VkpknoHhkkJMefyo2TdZqe,MftiU6RXAZed46kn3BDADs,9paEifSShnovXWLnGUGnfR,BLwn5wtTHP7keBboTjefVR,kDgoPDmeRva4WGUEW4J5Ed,HPs7uHdZstxvxxHHZCyfjy,mmbkGLz7MicqB7XDzstNrA,Qx79cAxrfZvKmxhGikNgAq,aaHFmZQMcNwHeztxhTUx7G,RKR8ZqDoVzxq35zA9cPKVd,6FHsD3yRQKYto8msEWotGs,KPKgSk3vGQApejNEBdAhmB,daB5K9rQt6KjBUH3MfvG3r,V2xXcqRGqN25cURWVL3jjL,5AXKayng4qcjqfnstB9a97,mereioLeijZLUmoKgqoGbV,GR3CS2ez3i28cxremJwsbr,JxeXujiCXaB6cfLJBuBmjz,TbeKdk2jhfTfZ7fJFDDdp9,BVrHxYkpy6FSU673oYYkkL,RYBJcPB4RzqNPBwTf92mF4,DdpiNif4J8HQkhNboLi3PR,gSdNvEPgxUcrnq34pJGwxQ,5DmYaffmH7SMg5JDoYoxwp,RLWXLsMw3nfX8RShVgZN5u,A6ABxN4UiLSAEg9o5LG7rg,56Mq79ZAzSiJTppo9Z3ghS,QCc9qsyPyuYmJCSCCrcd4b,GcC3o8Aim4GomGL5sjQpKc,M8m5TZL66PJGodRgMQZVxK,CwkkWjBySsr4pEN5PDhHjQ,V7bUjFGgCcKU4Xz3p9zpm4,XPfkQA2Y6TYsyjq3PiWJPa,Ms5tjifAoCaPuCSkEMhzXw,eXwkFgRKqVHn2EPpSWBNsF
gpt-4-turbo-preview,1.0,0.9,0.9,0.9,0.9,0.9,0.8,1.0,0.9,1.0,0.9,0.9,0.9,1.0,0.9,0.9,1.0,1.0,0.8,0.9,0.9,1.0,1.0,0.9,0.9,0.9,1.0,0.9,1.0,0.8,1.0,0.9,0.9,0.9,1.0,0.9,1.0,0.9,0.9,1.0
gpt-4o-2024-05-13,1.0,0.9,0.9,0.8,0.9,0.9,0.8,0.9,0.9,1.0,0.9,0.9,0.8,0.9,1.0,1.0,0.9,1.0,0.9,0.9,1.0,0.9,0.9,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.9,0.8,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9
gpt-4o-mini,1.0,0.8,0.6,0.3,0.9,0.9,0.8,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,1.0,0.9,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9,1.0,0.9,0.9,0.8,1.0,0.9,0.9,0.9
karakuri-ai__karakuri-lm-70b-chat-v0.1,1.0,0.3,0.3,0.9,0.8,1.0,0.7,0.8,0.2,1.0,1.0,0.7,0.9,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,1.0,0.8,0.9,0.7,0.9,0.9,0.8,0.9,0.6,0.8,0.9,0.9,0.9,0.9,0.8,0.3,0.8,0.7,0.8
karakuri-ai__karakuri-lm-8x7b-chat-v0.1,1.0,0.6,1.0,0.2,0.9,0.6,0.8,0.7,0.9,0.9,0.9,0.9,0.9,0.6,0.8,0.8,0.9,0.8,0.9,0.8,0.8,0.8,0.9,0.8,0.4,1.0,0.8,0.6,0.9,0.9,0.8,0.4,0.9,0.8,0.9,0.7,0.9,0.9,0.9,0.9
kinokokoro__cyberagent-mistral-nemo-webnovels,0.9,0.2,0.2,0.1,0.4,0.4,0.1,0.1,0.6,0.6,0.7,0.2,0.9,0.7,0.7,0.8,0.5,0.8,0.7,0.2,0.3,0.9,0.4,0.6,0.4,0.9,0.8,0.3,1.0,0.7,0.7,0.4,0.7,0.9,0.8,0.8,0.7,0.9,0.5,0.3
kinokokoro__cyberagent-mistral-nemo-webnovels-cp2460,1.0,0.2,0.6,0.2,0.2,0.3,0.2,0.6,0.7,0.5,0.9,0.7,0.4,0.2,0.7,0.6,0.8,0.6,0.9,0.2,0.4,0.6,0.8,0.4,0.5,0.4,0.9,0.6,0.7,0.6,1.0,0.7,0.8,0.9,0.2,0.4,0.9,0.7,0.8,0.1
lightblue__20240422,1.0,0.2,0.4,0.1,0.8,0.7,0.9,0.2,0.4,1.0,0.9,0.8,0.5,0.2,0.9,0.8,0.9,1.0,0.9,0.8,0.8,0.8,0.5,0.4,0.4,0.9,0.9,0.7,0.8,0.4,0.6,0.1,0.9,0.9,0.7,0.8,0.9,0.7,0.7,0.4
lightblue__ao-karasu-72B,0.3,0.4,0.4,0.2,0.6,0.9,0.8,0.2,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.8,0.7,0.9,0.7,0.8,0.7,0.8,0.9,0.9,0.8,0.8,0.8,0.8,0.1,0.9,0.9,0.9,0.7,0.9,0.9,0.1,0.8
lightblue__qarasu-14B-chat-plus-unleashed,0.9,0.3,0.1,0.2,0.7,0.9,0.6,0.1,0.2,0.8,0.9,0.8,0.8,0.4,0.4,0.5,0.8,0.5,0.8,0.3,0.7,0.8,0.1,0.1,0.7,0.5,0.8,0.1,0.9,0.3,0.2,,0.9,0.5,0.1,0.8,0.8,0.7,0.6,0.7
lightblue__starlingbeta_cult_dsir_megagon_final,0.9,0.2,0.2,0.1,0.3,0.3,0.3,0.1,0.1,0.1,0.3,0.7,0.1,0.1,0.2,0.4,0.3,0.1,0.3,0.1,0.2,0.7,0.1,0.2,0.1,0.6,0.1,0.1,0.1,0.2,0.6,0.1,0.8,0.9,0.7,0.4,0.2,0.4,0.7,0.2
llm-jp__llm-jp-3-172b-beta2-instruct2,0.4,0.5,0.4,0.9,0.9,0.8,0.4,0.2,0.8,0.9,0.9,1.0,0.9,0.8,0.8,0.8,0.9,0.8,0.9,0.8,0.8,1.0,0.9,0.9,0.9,0.8,1.0,0.7,0.8,0.8,1.0,1.0,0.8,0.9,1.0,0.6,0.8,0.6,0.8,0.8
meta-llama__Llama-2-13b-chat-hf,0.7,0.1,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.3,0.1,0.3,0.2,0.3,0.9,0.3,0.1
meta-llama__Llama-2-7b-chat-hf,0.1,0.4,0.1,0.2,0.1,0.3,0.6,0.1,0.2,0.1,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.1,0.2,0.1,0.2,0.1,0.1,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.8,0.3,0.2
meta-llama__Llama-3.3-70B-Instruct,1.0,0.4,0.9,0.3,0.9,0.9,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.7,0.9,1.0,0.9,0.9,0.8,1.0,1.0,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.7,1.0,0.8,0.8,0.9
meta-llama__Meta-Llama-3-70B-Instruct,0.2,0.2,0.3,0.3,0.3,0.8,0.3,0.3,0.9,0.8,0.2,0.8,0.1,0.1,0.1,0.2,0.1,0.8,0.8,0.8,0.1,0.8,0.1,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.8
meta-llama__Meta-Llama-3-8B-Instruct,0.6,0.2,0.1,0.3,0.3,0.1,0.2,0.1,0.1,0.2,0.9,0.8,0.9,0.2,0.8,0.8,0.1,0.1,0.9,0.1,0.2,0.2,0.2,0.1,0.4,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.6,0.2,0.1,0.2,0.2,0.8,0.2,0.2
microsoft__Phi-3-medium-128k-instruct,1.0,0.6,0.9,0.2,0.8,0.8,0.6,0.2,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.2,0.8,,0.8,0.9,0.9,0.4,0.7,0.8,0.8,0.3,0.4,0.9,0.6,0.8,0.3,0.8,0.8,0.5,0.8,0.8,,0.7,0.7
microsoft__phi-4,1.0,0.3,0.6,0.9,0.9,0.9,0.8,0.1,0.8,0.9,0.8,0.9,0.8,0.7,0.9,0.8,0.9,0.8,0.9,0.9,1.0,1.0,0.9,0.9,0.8,1.0,0.9,0.7,0.9,0.9,0.8,0.8,0.8,0.9,0.8,0.9,0.9,0.8,0.9,0.9
mistral__mistral-large-latest,1.0,0.6,0.9,1.0,0.9,1.0,0.9,0.4,0.8,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,0.9,1.0,0.7,1.0,1.0,0.9,0.8,0.9,0.8,0.8,1.0
mistralai__Mistral-7B-Instruct-v0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.3,0.1,0.3,0.3,0.6,0.1,0.7,0.4,0.5,0.1,0.8,0.6,0.6,0.3,0.6,0.1,0.2,0.1,0.1,0.8,0.6,0.4,0.6,0.2,0.2,0.1,0.9,0.8,0.7,0.7,0.6,0.5,0.4,0.1
mistralai__Mistral-Large-Instruct-2411,1.0,0.9,0.1,1.0,0.1,0.9,0.2,0.8,0.4,1.0,0.2,0.3,0.3,0.3,0.3,0.1,0.3,0.2,0.2,0.3,0.2,0.7,0.1,0.2,0.4,0.6,0.4,0.1,0.2,0.3,0.3,0.3,0.1,0.1,0.2,0.4,0.1,0.1,0.2,0.3
mistralai__Mistral-Nemo-Instruct-2407,1.0,0.6,0.7,0.2,0.8,0.7,0.6,0.2,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.8,1.0,1.0,0.8,0.6,0.9,0.9,0.9,1.0,0.4,0.9,0.9,0.6,0.9,0.7,0.7,0.2,0.9,0.9,0.8,1.0,0.8,0.8,0.9,0.9
mistralai__Mistral-Small-24B-Instruct-2501,0.9,0.2,0.7,0.2,0.3,0.6,0.4,0.1,0.9,1.0,0.9,0.7,0.9,0.9,0.8,0.6,0.9,0.9,0.9,0.9,1.0,0.9,0.8,0.8,0.4,0.8,1.0,0.6,0.9,0.8,0.8,0.1,0.6,1.0,1.0,0.9,0.9,0.5,0.9,0.8
nvidia__Llama-3.1-Nemotron-70B-Instruct-HF,1.0,0.3,0.6,0.2,1.0,1.0,0.8,0.8,0.9,1.0,0.4,0.9,0.9,1.0,0.9,0.7,0.9,1.0,0.9,1.0,0.9,0.9,0.6,0.9,0.8,0.9,0.8,0.6,1.0,0.9,0.9,0.2,1.0,1.0,0.8,1.0,0.9,0.8,0.8,0.8
nvidia_nim__nvidia__nemotron-4-340b-instruct,1.0,0.8,1.0,0.2,0.9,0.9,0.8,0.2,0.9,1.0,1.0,0.9,0.9,0.9,0.8,1.0,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.8,1.0,0.9,0.8,0.9,0.8,0.9
openchat__openchat-3.5-0106,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.3,0.1,0.2,0.1,0.8,0.2,0.6,0.1,0.6,0.4,0.8,0.4,0.3,0.3,0.2,0.1,0.4,0.7,0.4,0.6,0.8,0.3,0.4,0.1,0.5,0.9,0.1,0.6,0.8,0.8,0.5,0.7
phi-4,1.0,0.7,0.7,0.3,0.8,0.9,0.8,0.2,1.0,0.9,0.9,0.7,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1.0,0.9,0.8,0.9,1.0,1.0,0.9,0.9,0.9,,1.0,0.6
shisa-ai__shisa-gemma-7b-v1,0.1,0.3,0.2,0.1,0.4,0.5,0.6,0.2,0.5,0.4,0.2,0.6,0.9,0.5,0.1,0.1,0.8,0.1,0.7,0.4,0.9,0.9,0.1,0.1,0.9,0.8,0.4,0.8,0.9,,0.6,0.2,0.9,1.0,0.8,0.4,0.7,0.7,0.8,0.3
shisa-ai__shisa-llama3-70b-v1,1.0,0.7,0.7,0.3,0.5,0.4,1.0,0.1,0.9,0.9,0.8,0.3,0.9,0.9,0.7,0.9,0.8,1.0,0.9,0.8,1.0,0.9,0.9,0.8,0.8,0.9,0.9,0.8,0.8,0.9,0.8,0.8,1.0,0.9,0.9,0.6,1.0,0.9,0.9,0.9
shisa-ai__shisa-llama3-8b-v1,1.0,0.3,0.1,0.1,0.4,0.2,0.2,0.1,0.8,0.9,0.9,0.1,0.9,0.5,0.6,0.8,0.9,0.9,0.8,0.8,0.8,1.0,0.7,0.2,,0.9,0.9,0.8,0.9,0.2,0.8,0.2,0.9,0.9,0.8,0.6,0.9,,0.6,0.8
shisa-ai__shisa-llama3-8b-v1.fp0.5,1.0,0.4,0.7,0.1,0.2,0.3,0.6,0.2,0.5,0.8,0.8,,0.9,0.8,1.0,0.8,0.7,1.0,0.9,0.6,0.8,0.9,0.3,0.8,0.7,,1.0,0.6,1.0,0.7,0.8,0.2,,0.9,0.8,0.9,0.9,0.8,0.9,0.8
shisa-ai__shisa-swallowmx-13a47b-v1,1.0,0.3,0.7,0.9,0.3,0.9,0.9,0.9,0.2,0.9,0.9,0.8,0.8,0.9,0.6,0.1,1.0,0.8,0.8,,0.9,0.7,0.2,0.6,0.7,0.8,0.8,0.4,0.6,,0.9,0.6,0.9,0.9,0.7,0.8,0.6,0.7,0.7,0.8
shisa-ai__shisa-v1-llama3-70b.8e6,1.0,0.9,0.7,0.3,0.9,0.6,0.9,0.1,0.7,0.9,1.0,0.8,1.0,0.9,0.4,0.8,0.7,0.8,0.9,0.8,1.0,0.9,0.8,0.8,0.8,1.0,1.0,0.9,1.0,1.0,0.8,0.8,1.0,0.9,0.8,,0.7,0.9,0.8,0.8
shisa-ai__shisa-v1-llama3-8b.cosine,0.3,0.4,,0.1,0.7,0.1,0.4,0.1,0.3,0.6,1.0,0.7,0.9,0.7,,0.2,1.0,0.9,0.9,0.3,0.4,1.0,0.4,0.8,0.6,0.9,0.7,0.8,0.9,0.6,0.4,0.1,0.9,0.9,0.3,0.7,0.9,0.9,,0.8
shisa-ai__shisa-v1-llama3-8b.lr-2e4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,,0.1,0.8,0.3,0.3,0.1,,0.7,0.7,0.1,0.3,0.3,0.1,0.1,0.3,0.7,0.6,0.2,0.3,0.1,0.1,,0.8,0.9,0.1,0.6,0.9,0.3,0.7,0.6
shisa-ai__shisa-v1-llama3-8b.lr-2e5,0.9,0.1,0.3,0.1,0.2,0.2,0.4,0.1,0.8,0.6,0.9,,0.9,0.9,0.7,0.7,0.9,0.9,0.9,0.3,0.9,0.9,0.8,1.0,0.9,1.0,0.9,0.8,0.8,0.3,0.7,0.2,0.9,0.8,0.6,0.7,0.9,0.8,0.9,0.9
shisa-ai__shisa-v1-llama3-8b.lr-2e6,1.0,0.3,,0.2,0.6,0.8,0.3,0.2,0.4,0.9,0.6,0.7,0.9,,0.8,0.3,0.8,0.9,0.8,0.3,0.6,1.0,0.9,0.6,0.7,0.6,1.0,0.7,1.0,0.6,,0.2,0.9,1.0,0.4,0.8,1.0,0.7,0.8,0.6
shisa-ai__shisa-v1-llama3-8b.lr-5e5,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.7,0.4,0.6,0.1,0.9,,0.7,0.1,,0.9,0.9,0.6,0.7,0.9,0.4,0.8,0.5,0.8,0.9,0.8,0.6,0.3,0.2,0.1,0.9,1.0,0.1,0.9,1.0,0.7,0.9,0.8
shisa-ai__shisa-v1-llama3-8b.lr-5e6,1.0,0.2,0.3,0.1,0.8,0.2,0.8,0.2,0.8,0.9,0.8,,0.8,1.0,0.7,0.9,1.0,,0.8,0.4,0.8,0.9,0.8,0.9,0.8,1.0,0.6,0.8,0.8,0.7,,,0.9,0.9,0.8,0.7,1.0,0.8,0.9,0.9
shisa-ai__shisa-v1-llama3-8b.lr-8e6,1.0,0.4,0.3,0.1,0.4,0.2,0.6,0.1,0.8,0.8,0.9,1.0,0.9,,0.7,0.9,0.9,0.9,0.8,0.6,0.8,,0.8,0.4,0.9,,0.9,,0.8,0.6,0.8,0.2,0.9,0.9,0.7,0.9,0.9,0.7,0.8,0.7
shisa-ai__shisa-v1-llama3-8b.neftune,0.9,0.5,0.7,0.1,0.7,0.2,0.6,0.1,0.1,1.0,0.6,0.9,0.9,,0.7,0.9,0.9,1.0,0.9,0.3,0.9,0.6,0.6,0.5,0.4,1.0,0.8,0.7,0.8,0.6,0.6,,0.8,0.9,0.6,0.9,0.9,0.5,0.7,0.9
shisa-ai__shisa-v1-llama3-8b.sharegpt_filtered,1.0,0.3,0.5,0.2,0.5,0.4,,0.1,0.8,0.8,0.9,0.4,0.7,0.6,0.7,0.7,0.9,0.8,0.7,0.6,0.4,0.6,0.3,0.6,0.7,0.9,0.4,0.5,0.8,0.4,0.7,0.2,0.9,0.9,0.1,0.6,0.8,0.5,0.8,0.8
shisa-ai__shisa-v1-llama3-8b.sharegpt_filtered_appended,1.0,0.3,0.4,0.1,0.4,0.1,0.5,0.2,0.4,0.9,1.0,0.6,0.9,0.4,0.9,0.9,0.7,0.8,0.8,0.4,0.8,0.8,0.7,,0.3,0.8,0.9,0.3,1.0,0.3,0.4,0.2,0.8,0.9,0.3,0.6,0.9,0.6,,0.9
shisa-ai__shisa-v1-llama3-8b.sharegpt_mix,1.0,0.1,0.2,0.1,0.6,0.1,,0.1,0.8,0.9,1.0,0.8,0.9,0.9,0.8,0.4,0.8,0.6,0.8,0.7,0.7,0.6,0.8,0.5,0.6,0.9,0.8,0.7,1.0,0.6,0.2,0.2,0.9,0.8,,,0.9,0.8,0.9,0.6
shisa-ai__shisa-v1-llama3-8b.sharegpt_original,1.0,0.3,0.6,0.1,0.2,0.3,0.9,0.1,0.8,0.9,1.0,0.8,,0.4,0.8,0.8,0.8,0.8,0.9,0.2,0.9,0.8,0.7,0.7,0.5,0.7,0.8,0.8,0.8,0.4,0.4,0.3,0.8,0.9,0.3,0.8,0.9,0.5,0.8,0.6
shisa-ai__shisa-v1-llama3-8b.wd-0.05,0.3,0.4,0.2,0.1,0.4,0.6,0.1,0.1,0.8,0.8,0.7,0.6,0.9,0.8,0.6,0.1,1.0,0.9,0.9,0.7,0.9,0.9,0.4,0.7,0.7,0.8,1.0,0.7,0.9,0.6,0.5,0.1,0.9,0.8,0.1,0.6,0.7,0.8,0.9,0.7
shisa-ai__shisa-v1-mistral0.3-7b,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.9,0.2,0.2,0.2,0.9,0.4,0.2,0.1,0.6,0.9,0.8,0.1,0.8,0.6,0.1,0.1,0.3,0.6,0.7,0.2,0.3,0.1,0.3,0.1,0.9,0.8,0.1,0.9,0.2,0.4,0.6,0.8
shisa-ai__shisa-v1-phi3-14b,1.0,0.4,0.8,0.2,0.6,0.9,0.4,0.1,0.8,0.6,0.8,0.5,0.9,0.8,0.8,0.8,0.8,0.8,0.4,0.7,0.8,0.8,0.7,0.7,0.6,1.0,0.6,0.8,0.8,0.4,0.3,0.3,0.6,0.8,0.5,0.6,0.9,0.5,0.8,0.6
shisa-ai__shisa-v1-qwen2-7b,0.1,0.3,0.4,0.1,0.1,0.1,0.8,,0.8,0.8,0.8,0.7,0.9,0.9,0.8,0.4,0.6,0.3,0.8,0.8,1.0,0.9,0.5,0.3,0.6,1.0,0.9,0.2,0.9,0.3,0.8,0.2,0.9,0.9,0.2,0.4,0.7,0.7,0.7,0.4
shisa-ai__shisa-v1-smaug-llama3-70b,1.0,0.6,0.9,0.2,0.6,0.9,0.7,0.2,0.8,0.9,0.9,0.7,0.9,0.9,0.8,0.1,0.9,0.9,0.9,0.6,0.8,0.9,0.9,1.0,0.9,0.9,1.0,0.7,0.8,0.8,0.8,0.2,0.9,1.0,0.6,0.7,0.9,0.9,0.9,0.9
shisa-ai__shisa-yi1.5-9b-v1,0.4,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.9,0.3,0.1,0.1,0.1,0.3,0.1,0.3,0.1,0.9,0.1,0.2,0.8,0.4,0.1,0.1,0.4,0.6,0.3,0.8,0.1,0.4,,0.5,0.3,0.1,0.4,0.8,0.4,0.7,0.6
shisa-v1-cyberagent-mistral-nemo-japanese-12b,1.0,0.2,0.6,0.4,0.6,0.3,0.8,0.2,0.9,0.8,0.9,0.6,0.7,0.9,0.8,0.1,0.8,0.6,0.8,0.3,0.7,0.8,0.9,0.4,0.8,0.9,0.8,0.8,0.9,0.6,0.6,0.3,0.9,1.0,0.9,0.9,0.9,0.7,0.8,0.9
shisa-v1-llama-3.1-base-70b,0.9,0.3,0.2,0.1,0.2,0.3,0.3,0.2,0.9,0.7,0.4,0.6,0.6,0.8,0.8,0.1,0.8,0.8,0.9,0.3,0.8,0.9,0.9,0.9,1.0,0.9,,0.7,0.6,0.8,0.9,0.1,0.8,0.9,0.7,0.7,0.7,0.8,0.7,0.9
shisa-v1-llama3-70b.q4_k_m,0.9,0.6,0.4,0.4,0.9,0.8,1.0,0.1,0.9,0.7,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.8,0.7,0.8,0.9,0.9,0.9,0.7,1.0,0.8,1.0,0.9,0.8,0.9,0.8,1.0,0.9,0.9,0.7,0.9,0.9,0.9,0.9
shisa-v1-llama3-8b-unsloth-qlora,1.0,0.4,0.6,0.2,0.9,0.6,0.8,0.2,1.0,0.7,1.0,0.8,0.9,0.4,0.8,0.7,0.8,0.8,0.8,0.7,0.9,0.7,0.8,0.3,0.4,0.8,0.8,0.8,0.9,0.3,0.6,0.2,0.9,0.9,0.3,0.6,0.9,0.7,0.7,0.9
shisa-v1-llama3.1-70b,1.0,0.7,0.8,0.3,0.9,0.8,0.6,0.1,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.7,1.0,0.8,0.9,0.9,0.8,0.9,1.0,0.9,1.0,0.8,0.7,0.9,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9
shisa-v1-llama3.1-8b-unsloth-qlora,1.0,0.2,0.4,0.1,0.8,0.4,0.9,0.1,0.4,0.9,0.9,0.8,0.9,0.3,0.8,0.7,0.9,0.8,0.8,0.7,0.8,0.9,0.9,0.2,0.7,1.0,0.8,0.6,0.9,0.6,0.9,0.1,0.9,0.9,0.4,0.6,1.0,0.7,0.8,0.9
shisa-v1-qwen2.5-32b,1.0,0.3,0.6,0.7,0.6,0.3,0.8,0.1,0.8,0.7,0.8,1.0,0.9,0.9,0.7,0.7,0.9,0.9,0.9,0.7,0.4,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.9,1.0,0.3,0.5,0.8,0.7,0.5,0.9,0.9,0.8,0.7
shisa-v1-sarashina2-70b,0.8,0.6,0.6,0.8,0.8,0.9,0.9,0.6,0.9,0.1,0.3,1.0,0.8,0.9,0.4,0.8,0.2,0.1,0.7,0.9,0.7,0.9,0.6,0.8,0.7,0.8,0.6,0.9,0.8,0.6,0.4,0.7,0.8,0.9,0.8,0.8,0.3,0.8,1.0,0.9
tiiuae__Falcon3-10B-Instruct,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.4,0.1,0.3,0.1,0.5,0.3,0.1,0.2,0.3,0.2,0.2,0.1
together_ai__google__gemma-2-27b-it,1.0,0.8,0.9,0.3,0.9,0.9,0.9,0.2,0.9,0.9,0.9,0.8,0.8,0.9,0.9,1.0,0.8,0.9,0.8,0.8,1.0,0.9,1.0,0.9,0.8,1.0,1.0,0.8,1.0,1.0,0.9,0.2,0.9,1.0,0.9,0.9,0.9,0.9,1.0,0.9
together_ai__meta-llama__Meta-Llama-3.1-405B-Instruct-Turbo,1.0,0.8,0.9,0.9,0.9,0.6,0.9,0.6,0.8,0.6,0.9,0.8,0.7,0.8,0.9,0.8,0.7,0.5,0.7,0.4,0.9,0.9,0.7,0.8,0.7,0.6,0.8,0.8,0.8,0.9,0.5,0.9,0.7,0.9,0.7,0.6,0.8,0.4,0.3,0.6
together_ai__meta-llama__Meta-Llama-3.1-70B-Instruct-Turbo,1.0,0.7,0.7,0.2,0.9,0.4,0.6,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.8,0.8,0.8,0.8,0.9,0.8,1.0,0.8,0.6,1.0,0.8,0.9,0.8,0.8,0.8,0.2,1.0,0.9,0.9,0.7,0.9,0.8,0.7,0.7
together_ai__microsoft__WizardLM-2-8x22B,1.0,0.3,0.1,0.4,0.5,0.3,0.5,0.1,0.1,0.2,0.9,0.2,0.9,0.9,1.0,0.6,0.9,1.0,0.9,0.7,0.9,0.9,0.4,0.3,0.8,1.0,0.9,0.9,1.0,0.6,0.9,0.1,0.9,1.0,0.9,0.8,1.0,0.8,1.0,1.0
together_ai__mistralai__Mixtral-8x22B-Instruct-v0.1,1.0,0.2,0.3,0.2,0.2,0.2,0.7,0.2,0.6,,1.0,0.1,0.9,0.5,0.7,,0.7,0.8,,0.6,0.8,0.8,0.8,0.2,0.4,0.7,0.8,0.8,0.8,0.5,0.8,0.1,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.8
tokyotech-llm__Llama-3.1-Swallow-70B-Instruct-v0.3,1.0,0.9,0.8,0.9,0.9,0.9,0.8,0.9,1.0,0.9,1.0,0.9,0.9,0.9,1.0,0.8,0.9,0.8,0.9,0.9,1.0,1.0,0.9,0.9,0.8,0.9,0.9,0.9,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,0.9,0.8,0.9,0.9
tokyotech-llm__Llama-3.1-Swallow-8B-Instruct-v0.3,1.0,0.9,0.6,0.6,0.8,0.9,0.8,0.9,0.9,0.8,0.9,0.8,0.8,0.8,0.8,0.7,0.9,0.9,0.9,0.8,0.9,1.0,0.8,0.9,0.9,1.0,0.9,0.9,0.9,1.0,0.7,0.9,0.9,1.0,0.9,0.9,0.9,0.8,0.8,0.9
tokyotech-llm__Swallow-70b-instruct-v0.1,0.9,0.2,0.7,0.4,0.9,0.9,0.6,0.6,0.2,0.9,0.7,0.8,0.8,0.4,0.3,0.8,0.7,1.0,0.9,0.8,0.8,0.9,0.3,0.4,0.3,0.8,0.7,0.8,0.8,0.6,0.7,0.3,0.8,0.9,0.3,0.4,0.8,0.7,0.8,0.7
umiyuki__Llama-3-Umievo-itr014-Shizuko-8b,1.0,0.4,0.3,0.2,0.6,0.9,0.8,0.1,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,1.0,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.6,0.8,0.8,0.8,1.0,0.3,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9
umiyuki__Umievo-itr012-Gleipnir-7B,1.0,0.6,0.6,0.6,0.9,0.9,0.9,0.8,1.0,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,1.0,0.8,0.9,0.8,0.8,0.9,0.8,0.7,0.9,0.8,0.8,0.8
unsloth__phi-4,1.0,0.8,0.6,0.2,0.9,0.6,0.8,0.2,1.0,0.9,0.8,0.8,0.8,0.4,0.7,0.9,0.8,0.8,0.8,0.9,0.9,1.0,0.8,1.0,0.8,1.0,0.9,0.2,0.9,1.0,0.9,0.9,1.0,1.0,0.9,0.9,0.9,0.9,1.0,0.9
